onset	duration	sample	value
1002,556	4,016	250639	200
1006,572	4	251643	201
101,132	1,024	25283	203
1010,572	2	252643	202
1012,572	1,008	253143	203
1013,58	4	253395	2
1017,58	4,016	254395	200
102,156	4,016	25539	1
1021,596	4	255399	201
1025,596	2	256399	202
1027,596	1,008	256899	203
1028,604	4	257151	1
1032,604	4,016	258151	200
1036,62	4	259155	201
1040,62	2	260155	202
1042,62	1,008	260655	203
1043,628	4	260907	2
1047,628	4	261907	200
1051,628	4	262907	201
1055,628	2,016	263907	202
1057,644	1,008	264411	203
1058,652	4	264663	2
106,172	3,984	26543	200
1062,652	4	265663	200
1066,652	4,016	266663	201
1070,668	1,984	267667	202
1072,652	1,024	268163	203
1073,676	4	268419	1
1077,676	4	269419	200
1081,676	4	270419	201
1085,676	2,016	271419	202
1087,692	0,992	271923	203
1088,684	4,016	272171	2
1092,7	4	273175	200
1096,7	4	274175	201
11,02	1,008	2755	203
110,156	4	27539	201
1100,7	2	275175	202
1102,7	1,008	275675	203
1103,708	4,016	275927	1
1107,724	4	276931	200
1111,724	4	277931	201
1115,724	2	278931	202
1117,724	1,008	279431	203
1118,732	4,016	279683	1
1122,748	4,016	280687	200
1126,764	3,984	281691	201
1130,748	2	282687	202
1132,748	1,008	283187	203
1133,756	4,016	283439	1
1137,772	4,016	284443	200
114,156	2,016	28539	202
1141,788	4	285447	201
1145,788	2	286447	202
1147,788	1,008	286947	203
1148,796	4	287199	2
1152,796	4	288199	200
1156,796	4	289199	201
116,172	1,008	29043	203
1160,796	2	290199	202
1162,796	1,024	290699	203
1163,82	4	290955	2
1167,82	4	291955	200
117,18	4	29295	2
1171,82	4	292955	201
1175,82	2,016	293955	202
1177,836	1,008	294459	203
1178,844	4	294711	1
1182,844	4,016	295711	200
1186,86	4	296715	201
1190,86	2	297715	202
1192,86	1,024	298215	203
1193,884	3,984	298471	2
1197,868	4,016	299467	200
12,028	4,016	3007	2
1201,884	4	300471	201
1205,884	2	301471	202
1207,884	1,008	301971	203
1208,892	4	302223	1
121,18	4,016	30295	200
1212,892	4,016	303223	200
1216,908	4	304227	201
1220,908	2	305227	202
1222,908	1,008	305727	203
1223,916	4,016	305979	1
1227,932	4	306983	200
1231,932	4	307983	201
1235,932	2	308983	202
1237,932	1,024	309483	203
1238,956	4	309739	1
1242,956	4,016	310739	200
1246,972	3,984	311743	201
125,196	3,984	31299	201
1250,956	2	312739	202
1252,956	1,008	313239	203
1253,964	4,016	313491	2
1257,98	4	314495	200
1261,98	4	315495	201
1265,98	2,016	316495	202
1267,996	1,008	316999	203
1269,004	3,984	317251	2
1272,988	4,016	318247	200
1277,004	4	319251	201
1281,004	2	320251	202
1283,004	1,024	320751	203
1284,028	4	321007	2
1288,028	4	322007	200
129,18	2	32295	202
1292,028	4	323007	201
1296,028	2,016	324007	202
1298,044	0,992	324511	203
1299,036	4	324759	1
1303,036	4,016	325759	200
1307,052	4	326763	201
131,18	1,024	32795	203
1311,052	2	327763	202
1313,052	1,008	328263	203
1314,06	4,016	328515	2
1318,076	4	329519	200
132,204	4	33051	1
1322,076	4	330519	201
1326,076	2	331519	202
1328,076	1,008	332019	203
1329,084	4	332271	1
1333,084	4,016	333271	200
1337,1	4	334275	201
1341,1	2	335275	202
1343,1	1,008	335775	203
1344,108	4	336027	2
1348,108	4,016	337027	200
1352,124	3,984	338031	201
1356,108	2,016	339027	202
1358,124	1,008	339531	203
1359,132	4,016	339783	1
136,204	4,016	34051	200
1363,148	9,008	340787	200
1372,156	4	343039	201
1376,156	1,008	344039	202
1377,164	1,008	344291	203
1378,172	6,512	344543	1
1384,684	1,008	346171	101
1385,692	4	346423	200
1389,692	3,984	347423	201
1393,676	1,008	348419	202
1394,684	0,992	348671	203
1395,676	3,552	348919	1
1399,228	0,992	349807	101
140,22	4	35055	201
1400,22	4,016	350055	200
1404,236	4	351059	201
1408,236	0,992	352059	202
1409,228	0,992	352307	203
1410,22	3,584	352555	2
1413,804	0,992	353451	102
1414,796	4,016	353699	200
1418,812	3,984	354703	201
1422,796	1,008	355699	202
1423,804	1,008	355951	203
1424,812	3,536	356203	1
1428,348	1,008	357087	101
1429,356	3,984	357339	200
1433,34	4,016	358335	201
1437,356	0,992	359339	202
1438,348	1,008	359587	203
1439,356	4,128	359839	2
144,22	2	36055	202
1443,484	1,008	360871	102
1444,492	4	361123	200
1448,492	4	362123	201
1452,492	1,008	363123	202
1453,5	0,992	363375	203
1454,492	3,584	363623	1
1458,076	0,992	364519	101
1459,068	4	364767	200
146,22	1,008	36555	203
1463,068	4,016	365767	201
1467,084	0,992	366771	202
1468,076	1,008	367019	203
1469,084	4,112	367271	2
147,228	4,016	36807	1
1473,196	1,008	368299	102
1474,204	4	368551	200
