protocol,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,label
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dhcp,60.555587,3000,0,S0,-
udp,dhcp,58.101145,3000,0,S0,-
udp,dns,7.005272,804,0,S0,-
udp,dns,7.005263,804,0,S0,-
udp,dns,7.005255,804,0,S0,-
udp,dhcp,59.007533,3000,0,S0,-
udp,dhcp,60.591687,3000,0,S0,-
udp,dhcp,61.018114,3000,0,S0,-
tcp,http,0.356214,135,238,SF,-
tcp,-,0.332740,0,0,SF,-
tcp,-,0.300101,0,0,SF,-
tcp,-,0.310657,0,0,SF,-
udp,dns,0.011518,43,111,SF,-
udp,dns,0.015621,40,56,SF,-
udp,dns,0.015581,40,104,SF,-
tcp,ssl,0.273075,684,72877,RSTO,-
tcp,ssl,2.843592,2651,3769,SF,-
udp,dns,0.012246,33,49,SF,-
udp,dns,0.189103,37,53,SF,-
udp,dns,0.013419,36,68,SF,-
udp,dns,0.016521,41,57,SF,-
udp,dns,0.011252,33,49,SF,-
udp,dns,0.013156,33,49,SF,-
udp,dns,0.013290,40,56,SF,-
udp,dns,0.118298,37,53,SF,-
udp,dns,0.049276,40,56,SF,-
udp,dns,0.010914,48,64,SF,-
udp,dns,0.012875,44,82,SF,-
udp,dns,0.010121,40,56,SF,-
udp,dns,0.024474,47,111,SF,-
udp,dns,0.011901,37,77,SF,-
tcp,http,0.365520,157,371,SF,-
udp,dns,0.011024,46,62,SF,-
udp,dns,0.000775,40,56,SF,-
udp,dns,0.011530,32,48,SF,-
tcp,ssl,2.056099,2241,5477,SF,-
tcp,ssl,19.529914,3536,5516,SF,-
tcp,ssl,2.583787,3624,5516,SF,-
udp,dns,0.013578,38,54,SF,-
udp,dns,38.595360,3888,0,S0,-
udp,dns,38.175279,1818,0,S0,-
icmp,-,-,-,-,OTH,-
icmp,-,0.004340,40,0,OTH,-
udp,dhcp,0.004204,0,600,SHR,-
udp,-,0.018262,48,48,SF,-
udp,-,0.023151,48,48,SF,-
icmp,-,0.055415,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
icmp,-,7.550691,24,0,OTH,-
tcp,ssl,72.484195,7385,5380,RSTR,-
tcp,ssl,69.633449,6965,5131,RSTR,-
icmp,-,23.370275,100,0,OTH,-
tcp,ssl,72.433771,1418,5131,RSTR,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,68.396072,4207,9458,RSTR,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,0.674159,1289,6224,SF,-
tcp,ssl,97.036123,2603,3842,RSTR,-
udp,dns,0.013741,46,62,SF,-
udp,dns,0.044944,37,53,SF,-
udp,dhcp,58.447015,3603,0,S0,-
tcp,ssl,123.033629,10345,17343,RSTR,-
tcp,ssl,144.999440,8176,5893,RSTR,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,183.995564,19447,8767,RSTR,-
udp,dhcp,60.150210,3000,0,S0,-
udp,dns,0.011258,37,53,SF,-
tcp,-,0.237601,0,0,SF,-
tcp,-,0.247405,0,0,SF,-
tcp,-,0.243230,0,0,SF,-
tcp,http,301.532260,146,775,SF,-
tcp,ssl,9.028916,1090,6429,S3,-
tcp,ssl,9.175136,1093,7397,S3,-
tcp,ssl,9.102421,1090,6429,S3,-
udp,dns,0.000619,33,49,SF,-
tcp,ssl,8.802702,2506,5330,S3,-
udp,dns,0.011442,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.237910,135,238,SF,-
tcp,http,0.297082,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.010620,40,56,SF,-
udp,dns,0.000605,40,56,SF,-
tcp,-,-,-,-,SH,-
icmp,-,0.017713,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.349602,3000,0,S0,-
tcp,ssl,8.910511,11065,4865,S3,-
udp,dhcp,59.957043,3000,0,S0,-
tcp,-,0.176464,31,0,RSTR,-
tcp,-,0.185046,31,0,RSTR,-
tcp,-,0.114456,53,0,RSTR,-
udp,dns,0.011373,46,62,SF,-
tcp,ssl,1.161052,3219,5271,S1,-
tcp,http,240.072298,176,83,S3,-
tcp,ssl,245.988358,673,336516351,S3,-
udp,dns,7.006697,804,0,S0,-
udp,dns,7.006537,804,0,S0,-
udp,dns,7.006526,804,0,S0,-
tcp,-,0.249356,0,0,SF,-
tcp,-,0.240893,0,0,SF,-
tcp,http,300.343867,146,775,SF,-
tcp,-,0.253883,0,0,SF,-
