protocol,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,label
udp,dhcp,0.004564,0.0,3900.0,SHR,-
udp,dns,3.948539,876.0,0.0,S0,-
udp,dns,3.768179,876.0,0.0,S0,-
udp,dns,0.000114,451.0,0.0,S0,-
udp,dns,3.756296,876.0,0.0,S0,-
udp,dns,3.715573,876.0,0.0,S0,-
icmp,-,180.863984,600.0,0.0,OTH,-
icmp,-,134.816029,96.0,0.0,OTH,-
icmp,-,135.000174,0.0,0.0,OTH,-
icmp,-,135.487944,400.0,0.0,OTH,-
udp,dhcp,178.246691,6900.0,0.0,S0,-
udp,dns,2.052335,160.0,498.0,SF,-
tcp,-,6e-06,0.0,0.0,SHR,-
tcp,-,6e-06,0.0,0.0,SHR,-
tcp,-,6e-06,0.0,0.0,SHR,-
icmp,-,5.2e-05,176.0,0.0,OTH,-
icmp,-,4.2e-05,200.0,0.0,OTH,-
icmp,-,4.1e-05,200.0,0.0,OTH,-
udp,dhcp,0.82953,0.0,1800.0,SHR,-
udp,dhcp,9.399944,7428.0,0.0,S0,-
icmp,-,0.00671,40.0,40.0,OTH,-
udp,-,0.019494,96.0,96.0,SF,-
icmp,-,13.017631,792.0,0.0,OTH,-
tcp,-,6e-06,0.0,0.0,SHR,-
udp,dns,3.959121,876.0,0.0,S0,-
tcp,-,1.4e-05,0.0,0.0,SHR,-
udp,dns,3.774344,876.0,0.0,S0,-
udp,dns,3.893012,876.0,0.0,S0,-
udp,dns,4.180049,876.0,0.0,S0,-
tcp,-,1.5e-05,0.0,0.0,SHR,-
icmp,-,134.720015,96.0,0.0,OTH,-
icmp,-,134.983429,0.0,0.0,OTH,-
icmp,-,135.583945,400.0,0.0,OTH,-
udp,dhcp,171.633045,6900.0,0.0,S0,-
icmp,-,180.707971,580.0,0.0,OTH,-
tcp,-,6e-06,0.0,0.0,SHR,-
tcp,-,6e-06,0.0,0.0,SHR,-
tcp,-,7e-06,0.0,0.0,SHR,-
udp,dns,8.9e-05,495.0,0.0,S0,-
udp,dns,4.080298,876.0,0.0,S0,-
udp,dns,4.104848,876.0,0.0,S0,-
udp,dns,3.947094,876.0,0.0,S0,-
udp,dns,0.000101,979.0,0.0,S0,-
udp,dns,4.074816,876.0,0.0,S0,-
icmp,-,134.880125,96.0,0.0,OTH,-
icmp,-,134.91912,0.0,0.0,OTH,-
icmp,-,135.583937,400.0,0.0,OTH,-
udp,dhcp,175.769442,7200.0,0.0,S0,-
icmp,-,179.944016,600.0,0.0,OTH,-
udp,dns,9.2e-05,561.0,0.0,S0,-
udp,dns,5.2e-05,1316.0,0.0,S0,-
udp,dns,4.022138,876.0,0.0,S0,-
udp,dns,3.756469,876.0,0.0,S0,-
udp,dns,4.07663,876.0,0.0,S0,-
udp,dns,4.141261,876.0,0.0,S0,-
icmp,-,135.423985,96.0,0.0,OTH,-
icmp,-,135.056485,0.0,0.0,OTH,-
icmp,-,136.351937,400.0,0.0,OTH,-
udp,dhcp,171.314691,6900.0,0.0,S0,-
icmp,-,180.411992,600.0,0.0,OTH,-
udp,dns,4.094092,876.0,0.0,S0,-
udp,dns,3.712268,876.0,0.0,S0,-
udp,dns,3.874202,876.0,0.0,S0,-
udp,dns,3.865345,876.0,0.0,S0,-
icmp,-,135.007999,96.0,0.0,OTH,-
icmp,-,134.999865,0.0,0.0,OTH,-
icmp,-,135.423971,400.0,0.0,OTH,-
udp,dhcp,173.328155,6000.0,0.0,S0,-
icmp,-,180.75197,580.0,0.0,OTH,-
udp,dns,1.789118,736.0,0.0,S0,-
udp,dns,3.849954,876.0,0.0,S0,-
udp,dns,3.780424,876.0,0.0,S0,-
udp,dns,3.969944,876.0,0.0,S0,-
icmp,-,134.848031,96.0,0.0,OTH,-
icmp,-,134.887392,0.0,0.0,OTH,-
icmp,-,135.327928,400.0,0.0,OTH,-
udp,dhcp,162.155331,6600.0,0.0,S0,-
icmp,-,180.28399,580.0,0.0,OTH,-
udp,dns,4.058887,876.0,0.0,S0,-
udp,dns,3.819744,876.0,0.0,S0,-
udp,dns,4.040004,876.0,0.0,S0,-
udp,dns,3.876546,876.0,0.0,S0,-
icmp,-,134.687932,96.0,0.0,OTH,-
icmp,-,134.791482,0.0,0.0,OTH,-
icmp,-,135.423892,400.0,0.0,OTH,-
udp,dhcp,175.549635,6900.0,0.0,S0,-
icmp,-,180.395996,600.0,0.0,OTH,-
udp,dns,3.942575,876.0,0.0,S0,-
udp,dns,3.87375,876.0,0.0,S0,-
udp,dns,4.026406,876.0,0.0,S0,-
udp,dns,4.164705,876.0,0.0,S0,-
icmp,-,135.263999,96.0,0.0,OTH,-
icmp,-,135.024997,0.0,0.0,OTH,-
icmp,-,136.127965,400.0,0.0,OTH,-
udp,dhcp,168.015512,6000.0,0.0,S0,-
icmp,-,180.623973,580.0,0.0,OTH,-
udp,dns,7.6e-05,451.0,0.0,S0,-
udp,dns,3.933981,876.0,0.0,S0,-
udp,dns,3.854194,876.0,0.0,S0,-
udp,dns,4.163531,876.0,0.0,S0,-
udp,dns,4.174698,876.0,0.0,S0,-
udp,dns,0.003738,156.0,412.0,SF,-
icmp,-,134.848013,96.0,0.0,OTH,-
icmp,-,134.919447,0.0,0.0,OTH,-
icmp,-,135.055936,400.0,0.0,OTH,-
udp,-,0.030243,96.0,96.0,SF,-
udp,dhcp,172.789614,6300.0,0.0,S0,-
icmp,-,180.803993,580.0,0.0,OTH,-
udp,dns,3.978091,876.0,0.0,S0,-
udp,dns,3.890837,876.0,0.0,S0,-
udp,dns,3.869429,876.0,0.0,S0,-
udp,dns,3.934943,876.0,0.0,S0,-
icmp,-,135.856688,96.0,0.0,OTH,-
icmp,-,135.868948,0.0,0.0,OTH,-
icmp,-,136.447958,400.0,0.0,OTH,-
udp,dns,9.3e-05,495.0,0.0,S0,-
udp,dhcp,174.95001,7200.0,0.0,S0,-
icmp,-,180.327992,600.0,0.0,OTH,-
udp,dns,9.5e-05,979.0,0.0,S0,-
udp,dns,4.192472,876.0,0.0,S0,-
udp,dns,0.0001,561.0,0.0,S0,-
udp,dns,9.9e-05,1316.0,0.0,S0,-
udp,dns,3.799446,876.0,0.0,S0,-
tcp,ssl,4537.403134,179107.0,464134.0,S1,-
udp,dhcp,90.034713,3300.0,0.0,S0,-
icmp,-,90.39997,340.0,0.0,OTH,-
icmp,-,89.82403,72.0,0.0,OTH,-
icmp,-,45.215915,200.0,0.0,OTH,-
icmp,-,44.242223,0.0,0.0,OTH,-
,,,,,,
